chemical,activity,dosage,reference
PHENYLALANINE,AntiADD,587 mg/day/orl,Martindale's 29th
PHENYLALANINE,Antidepressant,"50-4,000 mg/day/man","Duke, 1992 *"
PHENYLALANINE,Antiparkinsonian,200-500 mg/day/man,Martindale's 28th
PHENYLALANINE,Antisickling,690 ug/ml,"Duke, 1992 *"
PHENYLALANINE,Antivitiligic,100 mg/kg/day/orl/man,Martindale's 29th
PHENYLALANINE,Monoamine-Precursor,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
PHENYLALANINE,Tremorigenic,"1,600-12,600 mg/man/day",Martindale's 28th
PHOSPHORUS,Antiosteoporotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHOSPHORUS,Anxiolytic,not available,"Duke, 1992 *"
PHOSPHORUS,Immunostimulant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHOSPHORUS,Osteogenic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHOSPHORUS,Antiosteoporotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHOSPHORUS,Anxiolytic,not available,"Duke, 1992 *"
PHOSPHORUS,Immunostimulant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHOSPHORUS,Osteogenic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
PHYLLOQUINONE,Antihemorrhagic,1 mg ims man,Martindale's 28th
PHYLLOQUINONE,Fungicide,not available,"Duke, 1992 *"
PHYLLOQUINONE,Hypotensive,not available,"Duke, 1992 *"
PHYLLOQUINONE,Pesticide,not available,"Duke, 1992 *"
PHYLLOQUINONE,Toxic,not available,Martindale's 28th
PHYTOSTEROLS,Antiprostatotic,not available,"Duke, 1992 *"
PHYTOSTEROLS,Hypocholesterolemic,not available,"Duke, 1992 *"
PICEID,Antibacterial,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PICEID,Antilipoperoxidant,not available,"Duke, 1992 *"
PICEID,Antioxidant,not available,"Duke, 1992 *"
PICEID,Fungicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PICEID,Hepatoprotective,not available,Fitoterapia No.5-1986.
PICEID,Pesticide,not available,"Duke, 1992 *"
PICEID,PTK-Inhibitor,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
POTASSIUM,Angiotensin-Receptor-Blocker,not available,"Duke, 1992 *"
POTASSIUM,Antiarrhythmic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antidepressant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antifatigue,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antihypertensive,not available,"Duke, 1992 *"
POTASSIUM,Antispasmodic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antistroke,not available,"Duke, 1992 *"
POTASSIUM,Anxiolytic,not available,"Duke, 1992 *"
POTASSIUM,Beta-Blocker,not available,"Duke, 1992 *"
POTASSIUM,Cardioprotective,"3,000-5,000 mg","Duke, 1992 *"
POTASSIUM,Cardiotoxic,"18,000 mg/man/day","Duke, 1992 *"
POTASSIUM,Diuretic,not available,"Duke, 1992 *"
POTASSIUM,Hypotensive,not available,"Duke, 1992 *"
POTASSIUM,Vasodilator,not available,"Duke, 1992 *"
POTASSIUM,Angiotensin-Receptor-Blocker,not available,"Duke, 1992 *"
POTASSIUM,Antiarrhythmic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antidepressant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antifatigue,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antihypertensive,not available,"Duke, 1992 *"
POTASSIUM,Antispasmodic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
POTASSIUM,Antistroke,not available,"Duke, 1992 *"
POTASSIUM,Anxiolytic,not available,"Duke, 1992 *"
POTASSIUM,Beta-Blocker,not available,"Duke, 1992 *"
POTASSIUM,Cardioprotective,"3,000-5,000 mg","Duke, 1992 *"
POTASSIUM,Cardiotoxic,"18,000 mg/man/day","Duke, 1992 *"
POTASSIUM,Diuretic,not available,"Duke, 1992 *"
POTASSIUM,Hypotensive,not available,"Duke, 1992 *"
POTASSIUM,Vasodilator,not available,"Duke, 1992 *"
POTASSIUM-BITARTRATE,FLavor,FEMA,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
PROCYANIDIN-B-1,ACE-Inhibitor,0.33 mg/ml (58.2% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-1,ACE-Inhibitor,0.33 mg/ml (58.2% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-1,ACE-Inhibitor,0.33 mg/ml (58.2% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-2,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-2,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-2,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-2-3'-O-GALLATE,Antihepatotoxic,not available,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
PROCYANIDIN-B-2-3'-O-GALLATE,Antioxidant,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
PROCYANIDIN-B-2-3'-O-GALLATE,Antiperoxidant,not available,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
PROCYANIDIN-B-2-3'-O-GALLATE,Antihepatotoxic,not available,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
PROCYANIDIN-B-2-3'-O-GALLATE,Antioxidant,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
PROCYANIDIN-B-2-3'-O-GALLATE,Antiperoxidant,not available,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
"PROCYANIDIN-B-2-3,3'-DI-O-GALLATE",ACE-Inhibitor,ED50=2.2 uM/,"Duke, 1992 *"
"PROCYANIDIN-B-2-3,3'-DI-O-GALLATE",Antihepatotoxic,not available,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
"PROCYANIDIN-B-2-3,3'-DI-O-GALLATE",Antioxidant,IC50=0.44 ug/ml,"Duke, 1992 *"
PROCYANIDIN-B-3,ACE-Inhibitor,0.33 mg/ml (62.1% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-3,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-3,ACE-Inhibitor,0.33 mg/ml (62.1% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-3,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-3,ACE-Inhibitor,0.33 mg/ml (62.1% inhibition),"Duke, 1992 *"
PROCYANIDIN-B-3,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-4,Antidermatitic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Antigastrotic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-4,Vulnerary,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Antidermatitic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Antigastrotic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-4,Vulnerary,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Antidermatitic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Antigastrotic,not available,"Duke, 1992 *"
PROCYANIDIN-B-4,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDIN-B-4,Vulnerary,not available,"Duke, 1992 *"
PROCYANIDIN-B-6,ACE-Inhibitor,0.17 mg/ml (36.7% inhibition),"Duke, 1992 *"
PROCYANIDIN-C-2,ACE-Inhibitor,0.17 mg/ml (43.8% inhibition),"Duke, 1992 *"
PROCYANIDINS,ACE-Inhibitor,IC30-90=150-333 ug/ml,"Duke, 1992 *"
PROCYANIDINS,Antiallergic,not available,"Duke, 1992 *"
PROCYANIDINS,Antianaphylactic,not available,"Duke, 1992 *"
PROCYANIDINS,Antibacterial,not available,"Duke, 1992 *"
PROCYANIDINS,Antibiotic,not available,"Duke, 1992 *"
PROCYANIDINS,Antiedemic,2 x phenylbutazone,"Duke, 1992 *"
PROCYANIDINS,Antierythemic,not available,"Duke, 1992 *"
PROCYANIDINS,Antiexudative,not available,"Duke, 1992 *"
PROCYANIDINS,Antigastritic,not available,"Duke, 1992 *"
PROCYANIDINS,Antiherpetic,not available,"Economic & Medicinal Plant Research, 5: 197."
PROCYANIDINS,Antihistaminic,not available,"Duke, 1992 *"
PROCYANIDINS,AntiHIV,not available,"Duke, 1992 *"
PROCYANIDINS,Antioxidant,not available,"Duke, 1992 *"
PROCYANIDINS,Antiradicular,not available,"Duke, 1992 *"
PROCYANIDINS,Antiviral,not available,"Economic & Medicinal Plant Research, 5: 197."
PROCYANIDINS,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
PROCYANIDINS,Beta-Glucuronidase-Inhibitor,IC50=1.1 uM/l,"Duke, 1992 *"
PROCYANIDINS,Capillariprotective,IC50=1-80 uM/l,"Duke, 1992 *"
PROCYANIDINS,Capillaritonic,not available,"Duke, 1992 *"
PROCYANIDINS,Collagenase-Inhibitor,IC50=38 uM/l,"Duke, 1992 *"
PROCYANIDINS,Deodorant,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
PROCYANIDINS,Elastase-Inhibitor,IC50=4.24 uM/l,"Duke, 1992 *"
PROCYANIDINS,Hyaluronidase-Inhibitor,IC50=80 uM/l,"Duke, 1992 *"
PROCYANIDINS,Pesticide,not available,"Duke, 1992 *"
PROCYANIDINS,Sunscreen,not available,"Duke, 1992 *"
PROCYANIDINS,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
PROCYANIDINS,Xanthine-Oxidase-Inhibitor,IC50=2.4 uM/l,"Duke, 1992 *"
PROTOCATECHUALDEHYDE,Antioxidant,>tocopherol,"Duke, 1992 *"
PROTOCATECHUALDEHYDE,Antioxidant,>tocopherol,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Allergenic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Alpha-Glucosidase-Inhibitor,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiarrhythmic,not available,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 407."
PROTOCATECHUIC-ACID,Antiasthmatic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antibacterial,not available,"Lamikanra, A., Ogundaini, A.O., and Ogungbamila*, F.O. Antibacterial Constituents of Alchornea cordifolia Leaves. Phytotherapy Research 4(5): 198."
PROTOCATECHUIC-ACID,Anticlastogen,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antihepatotoxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PROTOCATECHUIC-ACID,Antiherpetic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiinflammatory,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PROTOCATECHUIC-ACID,Antiischemic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PROTOCATECHUIC-ACID,AntiLegionella,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antileukemic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antimelanogenic,ID60=0.5 uM/ml,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antimutagenic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiophidic,not available,"Economic & Medicinal Plant Research, 5: 363."
PROTOCATECHUIC-ACID,Antioxidant,2/3 quercetin,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antioxidant,10 x alpha-tocopherol,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antioxidant,1/2 BHT,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiperoxidant,IC50=>100 uM,"Planta Medica, 57: A54, 1991."
PROTOCATECHUIC-ACID,Antiperoxidant,IC75=200 ug/ml,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiradicular,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antiseptic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antispasmodic,EC50=4.6-17 uM,"Ortiz de Urbina, J.J., Martin, M.L., Sevilla, M.A., Montero, M.J., Carron, R., and San Roman, L. Antispasmodic Activity on Rat Smooth Muscle of Polyphenol Compounds Caffeic and Protocathechic Acids. Phytotherapy Research 4(2): 73, 1990."
PROTOCATECHUIC-ACID,Antitumor (Colon),not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antitumor (Mouth),not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antitumor (Skin),not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Antitussive,not available,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 200."
PROTOCATECHUIC-ACID,Antiviral,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Apoptotic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Carcinogenic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Cardioprotective,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Chemopreventive,100 ppm orl rat,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Fungicide,500 ug/ml,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
PROTOCATECHUIC-ACID,Glutathione-Depleting,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Hepatotoxic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Immunostimulant,not available,"Economic & Medicinal Plant Research, 1: 124."
PROTOCATECHUIC-ACID,Nephrotoxic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Pesticide,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Phagocytotic,not available,"Economic & Medicinal Plant Research, 1: 124."
PROTOCATECHUIC-ACID,Prostaglandigenic,not available,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Secretogogue,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
PROTOCATECHUIC-ACID,Tyrosinase-Inhibitor,ID60=0.5 uM/ml,"Duke, 1992 *"
PROTOCATECHUIC-ACID,Ubiquiot,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PTEROSTILBENE,Antibacterial,not available,"Duke, 1992 *"
PTEROSTILBENE,Antidiabetic,not available,"Duke, 1992 *"
PTEROSTILBENE,Antimelanomic,40 uM,"Duke, 1992 *"
PTEROSTILBENE,Antioxidant,not available,"Duke, 1992 *"
PTEROSTILBENE,Antiradicular,not available,"Duke, 1992 *"
PTEROSTILBENE,Chemopreventive,ED50=5 uM,"Duke, 1992 *"
PTEROSTILBENE,COX-1-Inhibitor,IC50=20 uM,"Duke, 1992 *"
PTEROSTILBENE,COX-2-Inhibitor,IC50=84 uM,"Duke, 1992 *"
PTEROSTILBENE,Cyclooxygenase-Inhibitor,IC50=20-84 uM,"Duke, 1992 *"
PTEROSTILBENE,Cytotoxic,not available,"Duke, 1992 *"
PTEROSTILBENE,Fungicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
PTEROSTILBENE,Hyperglycemic,not available,"Duke, 1992 *"
PTEROSTILBENE,Hypocholesterolemic,25 ppm diet hamster,"Duke, 1992 *"
PTEROSTILBENE,Hypoglycemic,10-50 mg/kg,"Duke, 1992 *"
PTEROSTILBENE,Hypolipidemic,not available,"Duke, 1992 *"
PTEROSTILBENE,Hypotensive,not available,"Duke, 1992 *"
PTEROSTILBENE,Insecticide,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
PTEROSTILBENE,Pesticide,not available,"Duke, 1992 *"
PTEROSTILBENE,Phytoalexin,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
PUFA,Antiacne,not available,Martindale's 28th
PUFA,Antieczemic,not available,Martindale's 28th
PUFA,AntiMS,not available,Martindale's 28th
PUFA,Antipolyneuritic,not available,Martindale's 28th
PYRROLIDINE,Perfumery,not available,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
QUERCETIN,11B-HSD-Inhibitor,not available,"Duke, 1992 *"
QUERCETIN,5-Lipoxygenase-Inhibitor,IC50 (uM)=4,"Duke, 1992 *"
QUERCETIN,Aldehyde-Oxidase-Inhibitor,IC70-96=10 uM,"Duke, 1992 *"
QUERCETIN,Aldose-Reductase-Inhibitor,IC50=0.84 ug/ml cow,"Okada,Y,et al.1995.Search for Naturally Occurring Substances to Prevent the Complications of Diabetes.II.Inhibitory Effect of Coumarin and Flavonoid Derivatives on Bovine Lens Aldose Reductase and Rabbit Platelet Aggregation.Chem Pharm Bull43(8):1385-1387"
QUERCETIN,Aldose-Reductase-Inhibitor,IC50=0.344 uM,"Mao, X. M., Zhang, J. Q. 1993. Inhibition of Aldose Reductase by Extracts of Chinese Herbal Medicine. Zhongguo Zhongyao Zazhi , 18(10): 623-624."
QUERCETIN,Aldose-Reductase-Inhibitor,100 uM,"Duke, 1992 *"
QUERCETIN,Aldose-Reductase-Inhibitor,4 ug/ml,"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
QUERCETIN,Allelochemic,IC82=1 mM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
QUERCETIN,Allergenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
QUERCETIN,Analgesic,not available,"Duke, 1992 *"
QUERCETIN,Antiaflatoxin,IC50=25 uM,"Duke, 1992 *"
QUERCETIN,Antiaflatoxin,IC50=7.5 ppm,"Duke, 1992 *"
QUERCETIN,Antiaggregant,30 uM,"Duke, 1992 *"
QUERCETIN,Antiaggregant,IC50=55 uM,"Economic & Medicinal Plant Research, 5: 333."
QUERCETIN,Antiaging,not available,"Duke, 1992 *"
QUERCETIN,Antiallergic,IC50=14 uM,Jim Duke's personal files.
QUERCETIN,Antialzheimeran,not available,"Duke, 1992 *"
QUERCETIN,Antianaphylactic,not available,"Meli, R., Autore, G., Di Carlo, G., Capasso, F. Inhibitory Action of Quercetin on Intestinal Transit in Mice. Phytotherapy Research 4(5): 201, 1990."
QUERCETIN,Antiangiogenic,not available,"Duke, 1992 *"
QUERCETIN,Antiarthritic,not available,"Duke, 1992 *"
QUERCETIN,Antiasthmatic,IC50=14 uM,"Duke, 1992 *"
QUERCETIN,Antiatherosclerotic,not available,"Duke, 1992 *"
QUERCETIN,Antibacterial,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
QUERCETIN,Anticarcinomic (Breast),IC50=1.5 uM,Medline (post 1990 searches filed in my computer)
QUERCETIN,Anticariogenic,ID50=120 ug/ml,"Duke, 1992 *"
QUERCETIN,Anticataract,not available,"Duke, 1992 *"
QUERCETIN,Anticolitic,400 mg/man/3x/day,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
QUERCETIN,Anticomplementary,not available,"Duke, 1992 *"
QUERCETIN,AntiCrohn's,400 mg/man/3x/day,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
QUERCETIN,Anticystitic,"1,000 mg/day/4 weeks","Duke, 1992 *"
QUERCETIN,Antidepressant,not available,"Duke, 1992 *"
QUERCETIN,Antidermatitic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
QUERCETIN,Antidiabetic,not available,"Duke, 1992 *"
QUERCETIN,Antielastase,IC50=0.8 ug/ml,"Duke, 1992 *"
QUERCETIN,Antiencephalitic,not available,"Economic & Medicinal Plant Research, 5: 199."
QUERCETIN,Antiescherichic,not available,"Duke, 1992 *"
QUERCETIN,Antiestrogenic,not available,"Duke, 1992 *"
QUERCETIN,Antifeedant,"IC52=<1,000 ppm diet","Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
QUERCETIN,Antifibrosarcomic,not available,"Duke, 1992 *"
QUERCETIN,Antiflu,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
QUERCETIN,Antigastric,not available,"Rastitel'nye Resursy, 21: 85."
QUERCETIN,Antigonadotropic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
QUERCETIN,AntiGTF,ID50=120 ug/ml,"Duke, 1992 *"
QUERCETIN,Antihepatotoxic,not available,"Joyeux, M., Rolland, A., Fleurentin, J., Mortier, F., and Dorfman, P. 1989. Tert-Butyl Hydroperoxide-Induced Injury in Isolated Rat Hepatocytes: A Model for Studying Anti-Hepatotoxic Crude Drugs. Planta Medica 56(2): 171-173, 1990."
QUERCETIN,Antiherpetic,48-150 ug/ml,"Duke, 1992 *"
QUERCETIN,Antihistaminic,IC50=<10 uM,"Duke, 1992 *"
QUERCETIN,AntiHIV,not available,"Duke, 1992 *"
QUERCETIN,Antihydrophobic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
QUERCETIN,Antihypertensive,not available,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
QUERCETIN,Antiinflammatory,20-150 mg/kg,Fitoterapia No.5-1990.
QUERCETIN,Antileishmanic,IC50=64,"Duke, 1992 *"
QUERCETIN,Antileukemic,IC50=10 uM,"Economic & Medicinal Plant Research, 5: 225."
QUERCETIN,Antileukemic,5.5-60 uM,"Duke, 1992 *"
QUERCETIN,Antileukemic,IC50=>10 ug/ml,Life Sciences 55: 1061.
QUERCETIN,Antileukotriene,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
